status,reason,symbol,optionTicker,side,fillPrice,occurredAt,provenanceSource,providerResultCount,recordedTradeAt,recordedTradePrice,recordedMarkPrice,firstProviderTradeAt,firstProviderTradePrice,recordedPriceExistsInTradeWindow,recordedTimestampWithin1ms,exactAggregateAt,exactAggregateClose,nearbyAggregateAt,nearbyAggregateClose,fillId,orderId,error
matched,exact 1-minute aggregate close matches fill price,ARM,O:ARM260410C00142000,buy,7.83,2026-04-06T17:31:00.000Z,polygon-option-aggregates,1,,,7.83,,,,,2026-04-06T17:31:00.000Z,7.83,2026-04-06T17:31:00.000Z,7.83,6aafb80a-423f-4618-9a80-5e825d6348b0,6e40c3bb-f871-453e-9609-648b35fadc50,
no_exact_bar,provider returned nearby bars but no bar at the fill minute,META,O:META260410C00575000,sell,10.3,2026-04-06T18:00:00.000Z,polygon-option-aggregates,1,,,10.3,,,,,,,,,e83dfeb8-31c5-4ad1-b581-3b3c9492d071,d1429524-9195-4419-be5e-b00a4b44b521,
matched,exact 1-minute aggregate close matches fill price,KTOS,O:KTOS260410C00074000,buy,2.4,2026-04-06T18:06:00.000Z,polygon-option-aggregates,1,,,2.4,,,,,2026-04-06T18:06:00.000Z,2.4,2026-04-06T18:06:00.000Z,2.4,441fa421-52bc-40bf-96ef-c543a9d36b30,45ccca90-051c-449e-9876-9e9abe697ae6,
matched,"first provider trade, recorded price, and recorded timestamp match",MSFT,O:MSFT260410C00370000,buy,6.05,2026-04-06T18:10:00.000Z,polygon-option-trade,2,2026-04-06T18:10:33.158Z,6.05,6.05,2026-04-06T18:10:33.158Z,6.05,true,true,,,,,72714492-58b7-4e1c-a289-4107eed32c6a,2d609e96-b77f-4af0-bc75-45e637b1c0bc,
matched,"first provider trade, recorded price, and recorded timestamp match",VXX,O:VXX260410C00035000,sell,0.95,2026-04-06T18:12:00.000Z,polygon-option-trade,3,2026-04-06T18:12:12.780Z,0.95,0.9,2026-04-06T18:12:12.780Z,0.95,true,true,,,,,75d4d3ff-3ffb-4a7d-b169-be7e41011c90,063db149-4e59-4245-8f49-5ef977846669,
matched,"first provider trade, recorded price, and recorded timestamp match",CCJ,O:CCJ260410C00112000,buy,2.47,2026-04-06T18:15:00.000Z,polygon-option-trade,1,2026-04-06T18:15:31.433Z,2.47,2.47,2026-04-06T18:15:31.433Z,2.47,true,true,,,,,53da3343-93d8-4970-8958-cce47457d299,5a890903-b86f-424e-b071-a71abd482798,
no_provider_bars_near_fill,provider returned no 1-minute aggregate bars within +/-2 minutes,SQQQ,O:SQQQ260410C00075000,sell,3.3,2026-04-06T18:15:00.000Z,polygon-option-aggregates,0,,,3.3,,,,,,,,,9621b8df-3e91-436c-8c21-14f66aa58e18,04a4d3d7-9546-4da3-905f-4a50de827b55,
matched,"first provider trade, recorded price, and recorded timestamp match",TQQQ,O:TQQQ260410C00044000,buy,1.31,2026-04-06T18:15:00.000Z,polygon-option-trade,3,2026-04-06T18:15:27.446Z,1.31,1.34,2026-04-06T18:15:27.446Z,1.31,true,true,,,,,cbe347c4-6386-4c1d-8b84-d4679689e05d,d4c0ead5-2871-477e-9bc2-b441808a6773,
matched,exact 1-minute aggregate close matches fill price,IONQ,O:IONQ260410C00031000,buy,0.5,2026-04-06T18:16:00.000Z,polygon-option-aggregates,1,,,0.5,,,,,2026-04-06T18:16:00.000Z,0.5,2026-04-06T18:16:00.000Z,0.5,0e3bbe6d-6b2e-4a76-9528-43d28a01bdac,0a913ee8-82af-4948-bdf8-6344c4045dea,
matched,exact 1-minute aggregate close matches fill price,TLT,O:TLT260410C00088000,buy,0.1,2026-04-06T18:16:00.000Z,polygon-option-aggregates,1,,,0.1,,,,,2026-04-06T18:16:00.000Z,0.1,2026-04-06T18:16:00.000Z,0.1,fdc2a3cc-8c62-4e9c-a8e0-b51663df9805,19ab4ed1-44c7-420b-9bb8-290c60a7b253,
matched,"first provider trade, recorded price, and recorded timestamp match",GD,O:GD260410C00350000,sell,3.8,2026-04-06T19:51:00.000Z,polygon-option-trade,1,2026-04-06T19:51:54.564Z,3.8,3.8,2026-04-06T19:51:54.564Z,3.8,true,true,,,,,30d7bbf2-5b4d-4ef9-93cb-300beb328a98,fbb2fb72-e6c4-4112-ad67-6cfde6ec873f,
no_provider_bars_near_fill,provider returned no 1-minute aggregate bars within +/-2 minutes,TLT,O:TLT260410C00088000,sell,0.09,2026-04-06T19:55:00.000Z,polygon-option-aggregates,0,,,0.09,,,,,,,,,3f5f5ab7-40b6-476c-86f1-d7e99aa40626,02acd7f6-668c-4e6c-bafc-4d0fcdc88919,
matched,"first provider trade, recorded price, and recorded timestamp match",MSFT,O:MSFT260410C00370000,sell,6.15,2026-04-06T19:59:00.000Z,polygon-option-trade,3,2026-04-06T19:59:02.500Z,6.15,6.2,2026-04-06T19:59:02.500Z,6.15,true,true,,,,,f2633d47-d75f-4a2f-a0e2-e7968819e665,f541b517-5d8c-44bc-8ce9-ba55709b2044,
